comparison,feature,test,statistic,p_value,source_mean,target_mean,mean_delta,minus_log10_p
cleveland_train_vs_cleveland_validation,cp,chi_square,7.582847111126654,0.05546753372316034,3.1839622641509435,2.977777777777778,-0.20618448637316567,1.2559611439144607
cleveland_train_vs_cleveland_validation,slope,chi_square,2.9300898094345786,0.23106761521842437,1.5849056603773586,1.6666666666666667,0.08176100628930816,0.6362609178591941
cleveland_train_vs_cleveland_validation,fbs,chi_square,1.2879860217360208,0.2564194331649356,0.12264150943396226,0.2,0.07735849056603775,0.5910490641903476
cleveland_train_vs_cleveland_validation,thalach,ks_2samp,0.15733752620545072,0.2819527595511202,149.6933962264151,154.7111111111111,5.017714884696005,0.549823650492336
cleveland_train_vs_cleveland_validation,oldpeak,ks_2samp,0.14538784067085953,0.37071090650984556,0.9971698113207547,1.2066666666666666,0.2094968553459119,0.4309646366104016
cleveland_train_vs_cleveland_validation,exang,chi_square,0.6885191594606339,0.4066685266147092,0.32075471698113206,0.24444444444444444,-0.07631027253668762,0.3907594377416578
cleveland_train_vs_cleveland_validation,sex,chi_square,0.5045566041517299,0.47750480292066866,0.6886792452830188,0.7555555555555555,0.06687631027253671,0.3210222557630556
cleveland_train_vs_cleveland_validation,age,ks_2samp,0.12809224318658285,0.5286155411533074,54.613207547169814,52.82222222222222,-1.7909853249475916,0.27686007287682635
cleveland_train_vs_cleveland_validation,thal,chi_square,0.39308767031577413,0.8215653170605267,4.672985781990521,4.840909090909091,0.16792330891856988,0.0853579030611727
cleveland_train_vs_cleveland_validation,ca,chi_square,0.5152272173564943,0.9155335469662795,0.6320754716981132,0.6904761904761905,0.05840071877807729,0.038325737658938805
cleveland_train_vs_cleveland_validation,chol,ks_2samp,0.08301886792452828,0.9378059008076683,249.70283018867926,247.26666666666668,-2.4361635220125777,0.027887038946127953
cleveland_train_vs_hungarian,restecg,chi_square,181.653527895639,3.584574478193963e-40,1.0141509433962264,0.21843003412969283,-0.7957209092665335,39.445562391667224
cleveland_train_vs_hungarian,age,ks_2samp,0.34430753433448846,1.7585922854028605e-13,54.613207547169814,47.826530612244895,-6.78667693492492,12.754834836337887
cleveland_train_vs_hungarian,oldpeak,ks_2samp,0.32210242587601073,7.97498432649039e-12,0.9971698113207547,0.5860544217687075,-0.4111153895520472,11.09827016180375
cleveland_train_vs_hungarian,slope,chi_square,49.51464275537576,1.7702391407832013e-11,1.5849056603773586,1.8942307692307692,0.3093251088534106,10.751968061035258
cleveland_train_vs_hungarian,thalach,ks_2samp,0.2673063300920858,3.071541503876499e-08,149.6933962264151,139.1296928327645,-10.563703393650599,7.51264361194697
cleveland_train_vs_hungarian,thal,chi_square,30.910574107901628,1.9402340245427993e-07,4.672985781990521,5.642857142857143,0.9698713608666223,6.712145883761604
cleveland_train_vs_hungarian,cp,chi_square,19.988354621501635,0.0001706883144937501,3.1839622641509435,2.9829931972789114,-0.2009690668720321,3.7677962101365665
cleveland_train_vs_hungarian,fbs,chi_square,3.430768816066003,0.06399230496393628,0.12264150943396226,0.06993006993006994,-0.05271143950389233,1.1938722465258613
cleveland_train_vs_hungarian,trestbps,ks_2samp,0.09461330414064009,0.20376789732511302,130.02358490566039,132.5836177474403,2.5600328417799005,0.6908642359956843
cleveland_train_vs_hungarian,sex,chi_square,0.6024862371486026,0.43763098323790195,0.6886792452830188,0.7244897959183674,0.03581055063534855,0.35889193856466234
cleveland_train_vs_hungarian,ca,chi_square,1.9892960812772131,0.5746313127827574,0.6320754716981132,0.0,-0.6320754716981132,0.2406107121445575
